Freq.	V(vo)
Step Information: Run=1  (Run: 1/100)
6.87260295830329e+004	(-3.25972013910905e-001dB,1.75246266635041e+002°)
7.03268644595973e+004	(-3.24732377956016e-001dB,1.75080992212676e+002°)
7.19649875705844e+004	(-3.23628525649424e-001dB,1.74913365767129e+002°)
7.36412674705506e+004	(-3.22656807499677e-001dB,1.74743282064667e+002°)
7.53565929452870e+004	(-3.21813977410379e-001dB,1.74570635988811e+002°)
7.71118734830655e+004	(-3.21097173227489e-001dB,1.74395322380564e+002°)
7.89080397568611e+004	(-3.20503899391716e-001dB,1.74217235888836e+002°)
8.07460441178071e+004	(-3.20032011513063e-001dB,1.74036270830060e+002°)
8.26268611001446e+004	(-3.19679702705842e-001dB,1.73852321056069e+002°)
8.45514879379332e+004	(-3.19445491540948e-001dB,1.73665279829436e+002°)
8.65209450937978e+004	(-3.19328211488859e-001dB,1.73475039705551e+002°)
8.85362767999911e+004	(-3.19327001741172e-001dB,1.73281492420790e+002°)
9.05985516120600e+004	(-3.19441299311543e-001dB,1.73084528786205e+002°)
9.27088629754072e+004	(-3.19670832327753e-001dB,1.72884038586226e+002°)
9.48683298050509e+004	(-3.20015614437642e-001dB,1.72679910481917e+002°)
9.70780970788880e+004	(-3.20475940259767e-001dB,1.72472031918381e+002°)
9.93393364447768e+004	(-3.21052381817848e-001dB,1.72260289035963e+002°)
1.00000000000000e+005	(-3.21239962226347e-001dB,1.72198601056198e+002°)
Step Information: Run=3  (Run: 3/100)
3.00000000000000e+003	(2.22677214335792e-001dB,1.78828480248982e+002°)
3.06987897684226e+003	(2.22727394378762e-001dB,1.78799736453478e+002°)
3.14138564415270e+003	(2.22780025130970e-001dB,1.78770214019037e+002°)
3.21455791571282e+003	(2.22835230352635e-001dB,1.78739886366735e+002°)
3.28943458842955e+003	(2.22893140427573e-001dB,1.78708725611778e+002°)
3.36605536290589e+003	(2.22953892749803e-001dB,1.78676702472912e+002°)
3.44446086449065e+003	(2.23017632135242e-001dB,1.78643786173874e+002°)
3.52469266481859e+003	(2.23084511260090e-001dB,1.78609944336089e+002°)
3.60679330385224e+003	(2.23154691127505e-001dB,1.78575142861682e+002°)
3.69080631243714e+003	(2.23228341564892e-001dB,1.78539345805767e+002°)
3.77677623538250e+003	(2.23305641753531e-001dB,1.78502515236859e+002°)
3.86474865507940e+003	(2.23386780792756e-001dB,1.78464611084105e+002°)
3.95477021566922e+003	(2.23471958300914e-001dB,1.78425590969858e+002°)
4.04688864777496e+003	(2.23561385055401e-001dB,1.78385410025926e+002°)
4.14115279380865e+003	(2.23655283674029e-001dB,1.78344020691635e+002°)
4.23761263386826e+003	(2.23753889340172e-001dB,1.78301372491544e+002°)
4.33631931223778e+003	(2.23857450574104e-001dB,1.78257411790420e+002°)
4.43732516450462e+003	(2.23966230052585e-001dB,1.78212081522685e+002°)
4.54068374530862e+003	(2.24080505478990e-001dB,1.78165320893217e+002°)
4.64644985673744e+003	(2.24200570506008e-001dB,1.78117065045881e+002°)
4.75467957738334e+003	(2.24326735711828e-001dB,1.78067244695685e+002°)
4.86543029207679e+003	(2.24459329631544e-001dB,1.78015785719814e+002°)
4.97876072231268e+003	(2.24598699843153e-001dB,1.77962608702090e+002°)
5.09473095738523e+003	(2.24745214107572e-001dB,1.77907628424558e+002°)
5.21340248624812e+003	(2.24899261560089e-001dB,1.77850753298905e+002°)
5.33483823011676e+003	(2.25061253948614e-001dB,1.77791884729255e+002°)
