Freq.,Vvout
2.00909281260870e+000,-5.71658963480610e-004,-3.04849279727842e-002
2.01372424986236e+000,-5.71658884656117e-004,-3.05552030984964e-002
2.01836636368153e+000,-5.71658805487337e-004,-3.06256402258596e-002
2.02301917867824e+000,-5.71658725938586e-004,-3.06962397283313e-002
2.02768271952125e+000,-5.71658646030117e-004,-3.07670019802301e-002
2.03235701093619e+000,-5.71658565745536e-004,-3.08379273567372e-002
2.03704207770569e+000,-5.71658485099309e-004,-3.09090162338994e-002
2.04173794466950e+000,-5.71658404071182e-004,-3.09802689886300e-002
2.04644463672464e+000,-5.71658322680445e-004,-3.10516859987110e-002
2.05116217882553e+000,-5.71658240898165e-004,-3.11232676427957e-002
2.05589059598411e+000,-5.71658158747487e-004,-3.11950143004101e-002
2.06062991326997e+000,-5.71658076226484e-004,-3.12669263519553e-002
2.06538015581050e+000,-5.71657993317795e-004,-3.13390041787092e-002
2.07014134879101e+000,-5.71657910022386e-004,-3.14112481628286e-002
2.07491351745488e+000,-5.71657826343148e-004,-3.14836586873513e-002
2.07969668710366e+000,-5.71657742283941e-004,-3.15562361361989e-002
2.08449088309726e+000,-5.71657657826441e-004,-3.16289808941770e-002
2.08929613085401e+000,-5.71657572984148e-004,-3.17018933469787e-002
2.09411245585086e+000,-5.71657487756099e-004,-3.17749738811864e-002
2.09893988362349e+000,-5.71657402127828e-004,-3.18482228842737e-002
2.10377843976644e+000,-5.71657316108014e-004,-3.19216407446069e-002
2.10862814993326e+000,-5.71657229689907e-004,-3.19952278514489e-002
2.11348903983661e+000,-5.71657142874471e-004,-3.20689845949584e-002
2.11836113524847e+000,-5.71657055645311e-004,-3.21429113661946e-002
2.12324446200018e+000,-5.71656968031358e-004,-3.22170085571185e-002
2.12813904598268e+000,-5.71656880005611e-004,-3.22912765605930e-002
2.13304491314654e+000,-5.71656791569998e-004,-3.23657157703885e-002
2.13796208950220e+000,-5.71656702728377e-004,-3.24403265811829e-002
2.14289060112002e+000,-5.71656613483639e-004,-3.25151093885627e-002
2.14783047413050e+000,-5.71656523827107e-004,-3.25900645890277e-002
2.15278173472434e+000,-5.71656433742386e-004,-3.26651925799914e-002
2.15774440915263e+000,-5.71656343254549e-004,-3.27404937597834e-002
2.16271852372698e+000,-5.71656252350095e-004,-3.28159685276514e-002
2.16770410481966e+000,-5.71656161018416e-004,-3.28916172837634e-002
2.17270117886371e+000,-5.71656069261440e-004,-3.29674404292108e-002
2.17770977235312e+000,-5.71655977097492e-004,-3.30434383660089e-002
2.18272991184296e+000,-5.71655884489923e-004,-3.31196114970998e-002
2.18776162394952e+000,-5.71655791464774e-004,-3.31959602263549e-002
2.19280493535041e+000,-5.71655698010470e-004,-3.32724849585760e-002
2.19785987278479e+000,-5.71655604117369e-004,-3.33491860994988e-002
2.20292646305342e+000,-5.71655509798971e-004,-3.34260640557944e-002
2.20800473301886e+000,-5.71655415040811e-004,-3.35031192350706e-002
2.21309470960560e+000,-5.71655319854461e-004,-3.35803520458760e-002
2.21819641980018e+000,-5.71655224218705e-004,-3.36577628977000e-002
2.22330989065136e+000,-5.71655128142223e-004,-3.37353522009767e-002
2.22843514927026e+000,-5.71655031628871e-004,-3.38131203670860e-002
2.23357222283049e+000,-5.71654934668042e-004,-3.38910678083563e-002
2.23872113856830e+000,-5.71654837251056e-004,-3.39691949380674e-002
2.24388192378273e+000,-5.71654739387557e-004,-3.40475021704499e-002
2.24905460583574e+000,-5.71654641082367e-004,-3.41259899206914e-002
2.25423921215239e+000,-5.71654542316198e-004,-3.42046586049357e-002
2.25943577022094e+000,-5.71654443088086e-004,-3.42835086402857e-002
2.26464430759302e+000,-5.71654343413461e-004,-3.43625404448062e-002
2.26986485188378e+000,-5.71654243274000e-004,-3.44417544375261e-002
2.27509743077203e+000,-5.71654142666808e-004,-3.45211510384398e-002
2.28034207200038e+000,-5.71654041604425e-004,-3.46007306685105e-002
2.28559880337539e+000,-5.71653940076240e-004,-3.46804937496708e-002
2.29086765276773e+000,-5.71653838064896e-004,-3.47604407048276e-002
2.29614864811232e+000,-5.71653735593537e-004,-3.48405719578614e-002
2.30144181740847e+000,-5.71653632647698e-004,-3.49208879336305e-002
2.30674718872003e+000,-5.71653529234129e-004,-3.50013890579726e-002
2.31206479017555e+000,-5.71653425329686e-004,-3.50820757577071e-002
2.31739464996844e+000,-5.71653320951726e-004,-3.51629484606370e-002
2.32273679635706e+000,-5.71653216094464e-004,-3.52440075955523e-002
2.32809125766496e+000,-5.71653110745363e-004,-3.53252535922308e-002
2.33345806228096e+000,-5.71653004919852e-004,-3.54066868814414e-002
2.33883723865931e+000,-5.71652898604431e-004,-3.54883078949462e-002
2.34422881531988e+000,-5.71652791793313e-004,-3.55701170655025e-002
2.34963282084826e+000,-5.71652684484569e-004,-3.56521148268655e-002
2.35504928389597e+000,-5.71652576685915e-004,-3.57343016137895e-002
2.36047823318053e+000,-5.71652468398315e-004,-3.58166778620325e-002
2.36591969748571e+000,-5.71652359609231e-004,-3.58992440083559e-002
2.37137370566161e+000,-5.71652250306127e-004,-3.59820004905286e-002
2.37684028662483e+000,-5.71652140505397e-004,-3.60649477473283e-002
2.38231946935864e+000,-5.71652030188718e-004,-3.61480862185450e-002
2.38781128291313e+000,-5.71651919382128e-004,-3.62314163449812e-002
2.39331575640534e+000,-5.71651808051874e-004,-3.63149385684574e-002
2.39883291901944e+000,-5.71651696210493e-004,-3.63986533318112e-002
2.40436280000689e+000,-5.71651583843519e-004,-3.64825610789017e-002
2.40990542868655e+000,-5.71651470967346e-004,-3.65666622546114e-002
2.41546083444489e+000,-5.71651357573296e-004,-3.66509573048478e-002
2.42102904673613e+000,-5.71651243648830e-004,-3.67354466765473e-002
2.42661009508237e+000,-5.71651129206487e-004,-3.68201308176761e-002
2.43220400907377e+000,-5.71651014228907e-004,-3.69050101772330e-002
2.43781081836870e+000,-5.71650898711267e-004,-3.69900852052523e-002
2.44343055269392e+000,-5.71650782679608e-004,-3.70753563528053e-002
2.44906324184470e+000,-5.71650666099209e-004,-3.71608240720039e-002
2.45470891568498e+000,-5.71650548986468e-004,-3.72464888160017e-002
2.46036760414758e+000,-5.71650431322094e-004,-3.73323510389971e-002
2.46603933723429e+000,-5.71650313131163e-004,-3.74184111962359e-002
2.47172414501608e+000,-5.71650194394387e-004,-3.75046697440129e-002
2.47742205763324e+000,-5.71650075098264e-004,-3.75911271396755e-002
2.48313310529552e+000,-5.71649955261117e-004,-3.76777838416250e-002
2.48885731828234e+000,-5.71649834864624e-004,-3.77646403093194e-002
2.49459472694290e+000,-5.71649713912642e-004,-3.78516970032759e-002
